Point_Index,VER_Speed,NOR_Speed,VER_RPM,NOR_RPM,VER_Throttle,NOR_Throttle,VER_Brake,NOR_Brake,VER_nGear,NOR_nGear,Speed_Gap_kmh,Speed_Leader
167,199.0,218.28889031111112,10023.0,11209.272280177778,40.0,11.158340266666666,False,False,5,5,-19.288890311111118,NOR
168,197.0,216.0,10023.0,11116.0,40.0,0.0,False,False,5,5,-19.0,NOR
169,196.81785508571429,214.81250133333333,10026.278608457143,11056.387566933334,41.94287908571429,0.0,False,False,5,5,-17.994646247619045,NOR
170,194.46071497142856,211.0,10068.707130514285,10865.0,67.08570697142858,0.0,False,False,5,5,-16.53928502857144,NOR
171,194.0,209.9593768,10077.0,10832.8563056,72.0,0.9249984,False,False,5,5,-15.959376800000001,NOR
172,195.45500288,203.2093768,10147.3251392,10624.3563056,75.88000768,6.9249984,False,False,5,5,-7.754373920000006,NOR
173,197.0,202.0,10222.0,10587.0,80.0,8.0,False,False,5,5,-5.0,NOR
174,197.8562512,201.0,10418.937776,10388.0,87.7062608,22.0,False,False,5,5,-3.1437487999999973,NOR
175,198.0,200.6812512,10452.0,10394.906224,89.0,22.8499968,False,False,5,5,-2.6812511999999913,NOR
176,199.0,198.0,10581.0,10453.0,94.0,30.0,False,False,5,5,1.0,VER
177,204.2333312,197.3666673777778,10793.822135466668,10392.991734044444,96.6166656,26.991670044444444,False,False,5,5,6.866663822222222,VER
178,211.0,194.7000007111111,11069.0,10140.325067377778,100.0,14.325003377777778,False,False,5,5,16.2999992888889,VER
179,213.0,194.0,11244.0,10074.0,100.0,11.0,False,False,5,5,19.0,VER
180,213.4250048,192.0,11251.5438352,10162.0,100.0,40.0,False,False,5,5,21.42500480000001,VER
181,217.0,191.0375008,11315.0,10129.7562768,100.0,48.662492799999995,False,False,5,5,25.962499199999996,VER
182,218.12,190.0,11330.12,10095.0,100.0,58.0,False,False,5,5,28.120000000000005,VER
183,221.0,192.4249984,11369.0,10246.5624,100.0,64.6687456,False,False,5,5,28.575001600000007,VER
184,221.7,194.0,11243.233333333334,10345.0,100.0,69.0,False,False,5,5,27.69999999999999,VER
185,224.0,198.7468736,10830.0,10614.8936704,100.0,88.66561920000001,False,False,5,5,25.253126400000014,VER
186,224.0,201.0,10501.0,10743.0,100.0,98.0,False,False,6,5,23.0,VER
187,226.74444444444444,202.70999808,10523.377777777778,10812.53992192,97.04444444444445,98.0,False,False,6,5,24.03444636444445,VER
188,237.0,207.0,10607.0,10987.0,86.0,98.0,False,False,6,5,30.0,VER
189,237.0,208.2124992,10619.100498620945,11122.1936608,84.030151387288,98.0,False,False,6,5,28.787500800000004,VER
190,237.0,209.0,10650.0,11210.0,79.0,98.0,False,False,6,5,28.0,VER
191,237.0,217.8687544,10689.64997831111,11462.356375200001,80.62499911111111,98.8062504,False,False,6,5,19.1312456,VER
192,237.0,220.0,10764.205533866667,11523.0,83.68055466666667,99.0,False,False,6,5,17.0,VER
193,237.0,224.12499733333334,10772.0,11786.174829866666,84.0,99.0,False,False,6,5,12.87500266666666,VER
194,238.0,225.0,10830.0,11842.0,87.0,99.0,False,False,6,5,13.0,VER
195,238.0,225.0,10842.25498624,11784.96268666229,90.13499648,99.0,False,False,6,5,13.0,VER
196,238.0,225.0,10873.0,11755.0,98.0,99.0,False,False,6,5,13.0,VER
197,238.33999872,228.9142912,10886.1749504,11208.4670912,98.16999936,92.14999040000001,False,False,6,5,9.425707520000003,VER
198,242.0,233.0,11028.0,10638.0,100.0,85.0,False,False,6,6,9.0,VER
199,242.13214262857142,233.41785691428572,11035.135701942858,10655.132133485715,100.0,80.82143085714286,False,False,6,6,8.714285714285694,VER
200,242.92142902857142,234.0,11077.757167542857,10679.0,100.0,75.0,False,False,6,6,8.921429028571424,VER
201,243.0,233.7687504,11082.0,10688.9437328,100.0,75.4624992,False,False,6,6,9.231249600000012,VER
202,247.0,233.0,11138.0,10722.0,100.0,77.0,False,False,6,6,14.0,VER
203,247.58999936,233.48749973333332,11138.0,10739.062490666667,100.0,79.92499839999999,False,False,6,6,14.102499626666685,VER
204,248.0,234.0,11138.0,10757.0,100.0,83.0,False,False,6,6,14.0,VER
205,248.22430070515654,234.1062512,11151.121591251656,10774.6376992,100.0,83.6375072,False,False,6,6,14.118049505156534,VER
206,251.21495550703162,235.0,11326.07489716135,10923.0,100.0,89.0,False,False,6,6,16.21495550703162,VER
207,252.0,235.69285851428572,11372.0,10976.3501056,100.0,92.46429257142857,False,False,6,6,16.307141485714283,VER
208,254.05500288,237.0,11436.39009024,11077.0,100.0,99.0,False,False,6,6,17.05500287999999,VER
209,257.35499904,239.0,11539.78996992,11059.0,100.0,100.0,False,False,6,6,18.354999039999996,VER
210,258.0,239.82499931428572,11560.0,11095.5749696,100.0,99.72500022857143,False,False,6,6,18.17500068571428,VER
211,258.9812496,242.0,11568.8312464,11192.0,100.0,99.0,False,False,6,6,16.981249600000012,VER
212,260.0,243.94999893333335,11578.0,11269.999957333333,100.0,99.0,False,False,6,6,16.050001066666653,VER
213,264.640628,246.0,10626.67126,11352.0,100.0,99.0,False,False,6,6,18.640627999999992,VER
214,265.0,247.25357074285714,10553.0,11375.3999872,100.0,99.0,False,False,7,6,17.746429257142864,VER
215,269.0500026181818,249.0,10742.000122181818,11408.0,100.0,99.0,False,False,7,6,20.050002618181793,VER
216,271.0,252.87500342857143,10833.0,11580.825152914285,100.0,99.77500068571429,False,False,7,6,18.124996571428568,VER
217,271.3083328,254.0,10845.6416448,11631.0,100.0,100.0,False,False,7,6,17.308332800000017,VER
218,273.0,255.0,10915.0,11731.0,100.0,99.0,False,False,7,6,18.0,VER
219,274.0968744,257.1437528,10951.56248,11342.6744928,100.0,99.0,False,False,7,6,16.953121599999974,VER
220,276.0,262.0,11015.0,10463.0,100.0,99.0,False,False,7,6,14.0,VER
