Point_Index,VER_X,VER_Y,NOR_X,NOR_Y,Euclidean_Distance_m,VER_Track_Distance,NOR_Track_Distance,Track_Distance_Gap_m,VER_Speed,NOR_Speed,Distance_Leader
236,-3256.0,-1495.0,-2794.0,-928.0,731.391140225256,2145.53914791299,2067.181162334315,78.35798557867474,290.28,284.0772724363636,VER
237,-3326.9045358451917,-1589.3260240540812,-2894.1617868012704,-1017.8231848255273,716.8554820159978,2157.183611111111,2083.290555555556,73.89305555555529,291.0,285.0,VER
238,-3423.3803983087855,-1716.6999793567218,-2958.0,-1101.0,771.7936121204369,2170.1613888888887,2100.5761223917475,69.58526649714122,292.0,286.3562496,VER
239,-3432.0,-1728.0,-3000.6217931409838,-1156.5289035292817,716.0072425990852,2171.459639749245,2108.8016666666667,62.65797308257834,292.0,287.0,VER
240,-3584.6414284502084,-1922.834588958911,-3105.2616685860767,-1293.7616028983994,790.9094612902802,2199.280277777778,2124.8016666666667,74.47861111111115,292.0,288.0,VER
241,-3602.0,-1944.0,-3116.0,-1308.0,800.4323831530056,2202.2796660908643,2126.2417832226974,76.03788286816689,291.7687504,288.0,VER
242,-3664.2747137044144,-2018.6142266622396,-3259.0464851467627,-1499.4007597221237,658.6292898679402,2212.2136111111113,2144.001666666667,68.21194444444427,291.0,288.0,VER
243,-3736.0,-2104.0,-3290.0,-1541.0,718.2513487630914,2223.0929733452404,2148.644985352391,74.44798799284945,286.2906272,288.0,VER
244,-3825.7688893254704,-2211.5220534211085,-3411.0858558434884,-1701.7436194294933,657.1423514131183,2237.1025,2176.081666666667,61.02083333333303,280.0,288.0,VER
245,-3834.0,-2221.0,-3445.0,-1745.0,614.7332754943399,2238.3590095158193,2180.6180971233266,57.740912392492646,278.67188,287.6437488,VER
246,-3931.0,-2322.0,-3634.0,-1983.0,450.6994564008259,2252.6021804695956,2199.6336334359844,52.96854703361123,263.04688,286.1437488,VER
247,-3981.566263319498,-2360.4113773362865,-3700.993300640742,-2063.6151162989113,408.42282986153015,2259.7691666666665,2214.081666666667,45.687499999999545,255.0,285.0,VER
248,-4012.0,-2378.0,-3738.9606804909954,-2106.8598188579726,384.79535837594466,2263.7230347058035,2226.6150000000002,37.10803470580322,253.5750016,282.0,VER
249,-4139.0,-2423.0,-3745.0,-2114.0,500.71648664688485,2277.492407640346,2227.9171869311454,49.575220709200494,248.5750016,280.7249856,VER
250,-4155.062630906697,-2426.814150246576,-3810.904443674399,-2193.193959475813,415.96063680928955,2279.0580555555553,2238.615,40.443055555555475,248.0,270.0,VER
251,-4299.0,-2452.0,-3871.0,-2262.0,468.277695390246,2292.375650416796,2247.120469858943,45.25518055785278,244.2875024,264.1500032,VER
252,-4383.2709553724235,-2466.356336792667,-3910.6478360356286,-2303.133601662232,500.01427399135554,2300.569166666666,2253.0594444444446,47.509722222221626,242.0,260.0,VER
253,-4462.0,-2480.0,-3938.0,-2328.0,545.6005865099487,2308.5532871507135,2257.103898923469,51.449388227244526,242.97925230984293,259.1579517090909,VER
254,-4515.0,-2489.0,-4464.0,-2480.0,51.78802950489621,2313.9852762301352,2311.865176007882,2.1201002222533134,243.64315290108624,247.33976989090908,VER
255,-4543.847045935833,-2493.7726769331125,-4485.032133319555,-2483.507347173545,59.70402784681346,2316.9036111111104,2313.4372222222223,3.4663888888881047,244.0,247.0,VER
256,-4651.0,-2511.0,-4638.9852520337545,-2509.3393284033996,12.12897352805077,2327.550764288994,2324.415,3.135764288993869,242.18846227692308,247.0,VER
257,-4787.0,-2533.0,-4715.0,-2522.0,72.83543093852057,2340.978904883728,2331.1312715395743,9.847633344153564,239.88076996923076,247.0,VER
258,-4894.36406200503,-2549.9046848784737,-4813.335091760568,-2537.5867604898463,81.95990043992201,2351.2813888888886,2346.3705555555557,4.910833333332903,238.0,247.0,VER
259,-4929.0,-2555.0,-4850.0,-2543.0,79.90619500389191,2354.7254519953585,2351.360612835974,3.364839159384701,231.89283657142857,240.07000576,VER
260,-5049.601006348809,-2569.048456564044,-4927.000185647876,-2554.1244589535127,123.50581743878145,2367.4591666666665,2359.0927777777783,8.366388888888196,208.0,229.0,VER
261,-5099.0,-2571.0,-4964.0,-2559.0,135.5322839769182,2371.616207948492,2362.6190211107787,8.997186837713343,200.68500608,225.41508370713612,VER
262,-5194.375614982096,-2570.5833797265495,-5026.045584502401,-2565.9952984199977,168.39254630585802,2377.9591666666665,2368.7652777777785,9.193888888888068,189.0,219.0,VER
263,-5283.0,-2567.0,-5093.0,-2571.0,190.04210059878838,2383.5746201229713,2375.4282289189473,8.146391204023985,180.2250048,206.61001344,VER
264,-5385.846514471178,-2555.2768936927955,-5137.806461806773,-2572.2968436862516,248.6233022537121,2392.625833333333,2379.765277777778,12.860555555555038,165.0,198.0,VER
265,-5441.31561649101,-2540.6210012789825,-5238.0,-2570.0,205.42727539197145,2401.1813888888887,2389.2594370349093,11.921951853979408,154.0,176.65834026666667,VER
266,-5454.0,-2537.0,-5257.949857319003,-2569.063075589127,198.6547237330976,2403.538085481944,2391.2319444444447,12.306141037499401,151.71999232,172.0,VER
267,-5480.545632878312,-2528.6516449152077,-5340.0,-2561.0,144.22028636033517,2409.2924999999996,2399.1216686820717,10.170831317927878,146.0,161.38000384,VER
268,-5497.0,-2521.0,-5352.239038793952,-2558.850449081064,149.62751212573545,2412.309790749156,2400.120833333334,12.188957415822188,144.4250013090909,160.0,VER
269,-5593.0,-2455.0,-5445.9923349123255,-2537.160272286101,168.40891881564988,2424.4156040536636,2406.9208333333336,17.494770720330052,137.87954676363637,153.0,VER
270,-5604.008106765898,-2444.543767090538,-5482.0,-2527.0,147.25830524020813,2426.036944444444,2410.119948888472,15.91699555597188,137.0,151.0750016,VER
271,-5633.0,-2409.0,-5517.450278040149,-2514.1708909038616,156.24549445827498,2430.4595501086,2415.1430555555557,15.316494553044322,136.58214308571428,148.0,VER
272,-5684.957900541033,-2319.4737540007027,-5549.0,-2492.0,219.6584992167058,2436.6147222222216,2422.1901548242463,14.424567397975352,136.0,143.5750016,VER
273,-5700.0,-2291.0,-5554.614003616798,-2487.5422636177095,244.47075353160267,2438.753627202914,2423.0875,15.666127202913685,135.84166613333332,143.0,VER
274,-5727.405349818608,-2220.3205800082856,-5600.941835472469,-2447.4912956146677,259.9991432483801,2450.114722222222,2429.2208333333338,20.89388888888834,135.0,138.0,VER
275,-5732.0,-2197.0,-5611.0,-2437.0,268.7768591229535,2453.825861457246,2430.62255007159,23.20331138565598,136.515628,137.5375008,VER
276,-5749.400588687581,-2112.908619627802,-5652.0,-2382.0,286.1765987415851,2462.5591666666664,2437.3686543243957,25.190512342270722,140.0,135.2875008,VER
277,-5756.0,-2072.0,-5656.643003211668,-2374.615142023119,318.5086136864577,2466.470220955176,2438.2208333333338,28.24938762184229,142.77143405714287,135.0,VER
278,-5764.0,-1997.0,-5692.0,-2309.0,320.199937539032,2473.9428495017946,2445.425356384166,28.51749311762842,147.9142838857143,133.52250048,VER
279,-5764.134361873028,-1995.7233388601744,-5719.744135969324,-2239.064829563332,247.3571774851434,2474.0702777777774,2452.8875000000003,21.18277777777712,148.0,132.0,VER
280,-5772.0,-1927.0,-5724.0,-2226.0,302.82833420933383,2480.8764091713538,2454.276015642062,26.600393529291978,155.06499712,132.7194432,VER
281,-5774.34911451131,-1907.5252309377624,-5746.0,-2138.0,232.21173843685665,2482.7924999999996,2463.5006414777245,19.291858522275106,157.0,137.38610986666666,VER
282,-5781.0,-1855.0,-5751.147051000417,-2105.6857359184387,252.45699981767362,2488.1253699360514,2466.7875000000004,21.337869936050993,162.26499712,139.0,VER
283,-5785.795642049791,-1821.0777704934003,-5758.0,-2051.0,231.59626365346577,2492.0147222222217,2472.3258389827206,19.688883239501138,166.0,143.18610915555556,VER
284,-5802.0,-1733.0,-5760.0,-2035.0,304.9065430586887,2500.547053199671,2473.9694286825593,26.57762451711187,173.92,144.40833137777778,VER
285,-5805.802913474741,-1715.0259258358162,-5768.299219837799,-1958.3835651092654,246.23051725803577,2501.736944444444,2481.7875000000004,19.949444444443543,175.0,150.0,VER
286,-5835.0,-1583.0,-5772.0,-1925.0,347.75422355450985,2509.621960134351,2485.242094601398,24.379865532952863,181.24,153.8499968,VER
