Point_Index,VER_Speed,NOR_Speed,Speed_Gap_kmh,Speed_Gap_Advantage,VER_Distance,NOR_Distance,Distance_Difference,VER_RPM,NOR_RPM,VER_nGear,NOR_nGear,VER_Throttle,NOR_Throttle,VER_Brake,NOR_Brake,VER_DRS,NOR_DRS
632,98.0,91.14166826666667,6.85833173333333,VER,5410.519999999995,5412.515775429439,1.995775429443711,6860.0,6828.370622933333,3,3,0.0,21.991677866666667,False,False,0,0
633,95.77142857142857,93.0,2.7714285714285722,VER,5414.625621782034,5418.282777777777,3.657155995742869,6695.085714285714,6584.0,3,3,1.6714285714285715,35.0,False,False,0,0
634,94.0,96.0,-2.0,NOR,5417.831111111106,5423.61611111111,5.7850000000034925,6564.0,7072.0,3,3,3.0,39.0,False,False,0,0
635,93.24,96.3187536,-3.078753599999999,NOR,5419.776994784605,5424.081142125253,4.304147340647432,6564.76,7093.781496,3,3,7.56,39.3718792,False,False,0,0
636,92.0,102.0,-10.0,NOR,5422.942222222217,5432.682777777776,9.740555555558785,6566.0,7482.0,3,3,15.0,46.0,False,False,0,0
637,93.0,103.4250048,-10.425004799999996,NOR,5428.108888888884,5434.3508674892655,6.241978600381117,6983.0,7727.95582848,3,3,25.0,52.55502208,False,False,0,0
638,93.2,104.92499839999999,-11.72499839999999,NOR,5428.527177695089,5436.122774586541,7.5955968914513505,6994.5,7986.85472384,3,3,25.2,59.45499264,False,False,0,0
639,95.0,107.0,-12.0,NOR,5432.331111111106,5438.627222222221,6.296111111114442,7098.0,8345.0,3,3,27.0,69.0,False,False,0,0
640,97.31428571428572,114.87999744,-17.56571172571428,NOR,5438.186467338325,5444.914433651967,6.727966313641446,7506.857142857143,9082.76476032,3,3,36.25714285714286,84.75999488,False,False,0,0
641,98.0,115.0,-17.0,NOR,5439.953333333328,5445.016111111109,5.062777777780866,7628.0,9094.0,3,3,39.0,85.0,False,False,0,0
642,100.32,132.0,-31.680000000000007,NOR,5443.192538013995,5455.282777777776,12.090239763781028,7732.98,9780.0,3,3,44.8,92.0,False,False,0,0
643,102.0,132.8500096,-30.850009599999993,NOR,5445.619999999995,5455.9377195689085,10.317719568913162,7809.0,9887.69621632,3,3,49.0,91.91499904,False,False,0,0
644,109.48276374013517,142.0,-32.51723625986483,NOR,5452.3480356513355,5463.171666666664,10.823631015328829,8460.680696640864,11047.0,3,3,74.16929621681831,91.0,False,False,0,0
645,113.0,142.76500864,-29.76500863999999,NOR,5455.6330555555505,5463.863295337579,8.230239782028548,8767.0,11079.04536192,3,3,86.0,91.68000768,False,False,0,0
646,119.0,151.0,-32.0,NOR,5460.92194444444,5471.560555555553,10.638611111113278,9444.0,11424.0,3,3,86.0,99.0,False,False,0,0
647,122.36930293624643,154.46499712,-32.095694183753565,NOR,5462.963586156786,5474.973897849189,12.010311692402865,9626.90501653909,11292.71510912,3,3,86.0,99.0,False,False,0,0
648,133.0,169.0,-36.0,NOR,5469.825555555551,5490.33833333333,20.512777777779775,10204.0,10742.0,3,4,86.0,99.0,False,False,0,0
649,141.8156328,171.56500864,-29.74937584,NOR,5478.4549029132295,5493.182228662551,14.727325749321608,10975.7069328,10857.85289024,3,4,94.1375072,98.85749952,False,False,0,0
650,146.0,180.56500864,-34.56500864,NOR,5482.803333333328,5503.456406645191,20.65307331186341,11342.0,11264.35289024,3,4,98.0,98.35749952,False,False,0,0
651,154.8312464,187.0,-32.1687536,NOR,5489.803337225346,5511.116111111109,21.31277388576291,10621.7627936,11555.0,3,4,98.9812496,98.0,False,False,0,0
652,164.0,194.2,-30.19999999999999,NOR,5497.381111111106,5520.919368237519,23.538257126412645,9874.0,11249.8,3,4,100.0,98.0,False,False,0,0
653,169.68929188571428,205.0,-35.31070811428572,NOR,5505.777930276901,5536.171666666664,30.393736389763035,10472.639935085714,10792.0,3,5,100.0,98.0,False,False,0,0
654,173.0,205.46666666666667,-32.46666666666667,NOR,5510.836666666662,5537.105281790666,26.2686151240041,10821.0,10816.4,4,5,100.0,98.0,False,False,0,0
655,181.37249728,212.0,-30.627502719999995,NOR,5520.993568473919,5550.3049999999985,29.311431526079105,11272.12985344,11158.0,4,5,100.0,98.0,False,False,0,0
656,190.0,212.90452232216367,-22.904522322163672,NOR,5531.947777777772,5552.4577434510575,20.50996567328548,11737.0,11211.185912543224,4,5,100.0,98.18090446443273,False,False,0,0
657,190.55250624,217.0,-26.447493759999986,NOR,5532.87938173124,5562.3002777777765,29.420896046536654,11687.23193792,11452.0,4,5,100.0,99.0,False,False,0,0
658,191.85250624,218.75499904,-26.902492800000005,NOR,5535.080049117933,5569.415018144394,34.334969026460385,11570.13193792,11598.24992,4,5,100.0,99.0,False,False,0,0
659,203.0,220.0,-17.0,NOR,5554.503333333328,5574.522499999999,20.01916666667148,10566.0,11702.0,4,5,100.0,99.0,False,False,0,0
660,204.3361088,223.031248,-18.6951392,NOR,5556.66759304349,5580.583077077309,23.915484033818757,10634.0387712,11107.875392,4,5,100.0,98.3937504,False,False,0,0
661,216.0,225.0,-9.0,NOR,5576.103333333328,5584.522499999999,8.419166666671117,11228.0,10722.0,5,5,100.0,98.0,False,False,0,0
662,216.48571977142856,225.0,-8.514280228571437,NOR,5577.148221239555,5591.770165545263,14.621944305707984,11243.421602742857,10610.432203885714,5,5,100.0,98.41785691428572,False,False,0,0
663,224.0,225.0,-1.0,NOR,5593.52555555555,5602.022499999999,8.496944444448673,11482.0,10455.0,5,6,100.0,99.0,False,False,0,0
664,226.1937488,235.4666624,-9.272913599999981,NOR,5600.885214233626,5612.485029944862,11.599815711235351,11674.3186448,10760.4957088,5,6,100.0,99.0,False,False,0,0
665,227.0,241.0,-14.0,NOR,5603.614444444439,5618.089166666666,14.474722222226774,11745.0,10922.0,5,6,100.0,99.0,False,False,0,0
666,230.031256,242.4812496,-12.449993599999999,NOR,5609.835783574259,5634.014695831038,24.178912256778858,11706.1999232,11096.7874528,5,6,100.0,99.0,False,False,0,0
667,232.0,243.0,-11.0,NOR,5613.92555555555,5639.689166666666,25.763611111116006,11681.0,11158.0,5,6,100.0,99.0,False,False,0,0
668,236.9249984,248.84999679999999,-11.924998399999993,NOR,5626.9574119379495,5647.830357074167,20.872945136217822,11065.3752,11383.2248768,5,6,100.0,99.0,False,False,0,0
