Point_Index,VER_X,VER_Y,NOR_X,NOR_Y,Euclidean_Distance_m,VER_Track_Distance,NOR_Track_Distance,Track_Distance_Gap_m,Distance_Leader,VER_Speed,NOR_Speed
549,-7678.211506166672,-1015.891632354256,-7585.0,-1048.0,98.58667331203422,4687.276944444441,4699.671893332626,12.394948888184445,NOR,303.0,306.0
550,-7595.0,-1044.0,-7549.966006932689,-1059.5931501419573,47.657180602047994,4693.791637760567,4703.330833333333,9.539195572766403,NOR,303.64166613333333,306.0
551,-7486.34064258539,-1080.4716421547796,-7439.0,-1096.0,49.82234777453648,4707.610277777774,4715.011994849888,7.40171707211357,NOR,305.0,306.8562512
552,-7386.0,-1114.0,-7420.820378096955,-1102.0184592962617,36.82412318644202,4725.989322164318,4716.975277777778,9.014044386540263,VER,305.0,307.0
553,-7340.016259845135,-1129.5316176252227,-7213.0,-1172.0,133.92794244136363,4731.332499999997,4738.943812756782,7.6113127567850825,NOR,305.0,307.58409134545457
554,-7209.0,-1174.0,-7033.18987661978,-1232.8856062490675,185.40958472066205,4744.673832913865,4754.619722222222,9.945889308356527,NOR,305.78499968,308.0
555,-7176.31637109984,-1185.1540776019522,-7018.0,-1238.0,166.90345973742618,4748.332499999997,4756.077316447414,7.744816447417179,NOR,306.0,308.04250048
556,-7112.0,-1207.0,-6790.0,-1314.0,339.31254029286924,4754.88804423138,4783.459974194271,28.571929962890863,NOR,306.19249984,308.84
557,-6821.0,-1304.0,-6739.547433155309,-1331.0676820058975,85.83227862966994,4773.646555099933,4788.953055555556,15.306500455622881,NOR,306.74250048,309.0
558,-6707.189245288544,-1341.8811965621483,-6660.0,-1358.0,49.8662280022309,4782.443611111108,4797.189848193994,14.746237082886182,NOR,307.0,309.0
559,-6457.333536898098,-1425.470464969684,-6412.845242330745,-1440.3341713599661,46.9056299517238,4813.243611111108,4823.200555555556,9.9569444444478,NOR,308.0,309.0
560,-6432.0,-1434.0,-6399.0,-1445.0,34.785054261852174,4816.408298786619,4824.663221985005,8.254923198386678,NOR,308.0,309.0708330666667
561,-6313.777951417151,-1473.9069695007554,-6237.0,-1500.0,81.09069036855502,4830.354722222219,4841.888339277022,11.533617054803472,NOR,308.0,309.9041664
562,-6135.728630647057,-1534.0524927269412,-6218.854638752543,-1506.083284651474,87.70524399328764,4850.954722222219,4843.867222222222,7.087499999996908,VER,309.0,310.0
563,-6124.0,-1538.0,-6123.0,-1538.0,1.0,4852.413769559727,4853.921622674808,1.5078531150802519,NOR,309.0,309.6750001777778
564,-5903.310818987296,-1611.9953074806979,-5863.677364650348,-1625.5346087154237,41.88225615464894,4881.854722222219,4874.767222222222,7.087499999996908,VER,309.0,309.0
565,-5847.0,-1631.0,-5830.0,-1637.0,18.027756377319946,4888.488372430493,4877.9419701078805,10.546402322612266,VER,309.4812496,309.0
566,-5781.022983723474,-1653.352758431141,-5701.529157944429,-1681.194466627012,84.22843375163231,4895.632499999996,4895.367222222221,0.265277777774827,VER,310.0,309.0
567,-5684.0,-1686.0,-5618.0,-1708.0,69.57010852370435,4905.654438204954,4907.133740778713,1.4793025737590142,NOR,309.02500053333335,309.0
568,-5585.684459939358,-1718.1290548963661,-5570.182122258852,-1722.5226457977246,16.11291763055114,4916.165833333329,4912.533888888888,3.6319444444407054,VER,308.0,309.0
569,-5510.0,-1738.0,-5508.0,-1739.0,2.23606797749979,4924.465651662658,4919.118355994798,5.347295667860635,VER,308.0,308.5722225777778
570,-5479.0,-1744.0,-5352.0,-1757.0,127.66362050325849,4927.889282731625,4936.158730006975,8.269447275350103,NOR,308.0,307.4611114666667
571,-5429.485039580546,-1751.0452574399249,-5287.013357195574,-1755.5718593494992,142.54357371152216,4933.27694444444,4943.233888888888,9.9569444444478,NOR,308.0,307.0
572,-5305.0,-1756.0,-5187.0,-1742.0,118.82760622010359,4946.67911534471,4953.218682247511,6.539566902801198,NOR,307.5093752,307.0
573,-5177.915435972462,-1740.9197870129033,-5103.167507744373,-1721.2459625685267,77.29367466138216,4960.5658333333295,4960.289444444444,0.2763888888857764,VER,307.0,307.0
574,-5122.0,-1727.0,-4817.0,-1623.0,322.2436966024316,4965.41753250961,4983.757590449993,18.340057940382394,NOR,306.7624992,305.02142902857145
575,-4880.92054747073,-1645.6564535123227,-4814.879362230718,-1622.2408594380954,70.06945264346352,4980.965833333329,4984.011666666666,3.045833333337214,NOR,306.0,305.0
576,-4739.0,-1593.0,-4659.0,-1559.0,86.92525524840292,4992.554378302948,5007.570291788545,15.015913485596684,NOR,305.23888782222224,305.0
577,-4670.333028349188,-1564.550660988421,-4616.435034464767,-1538.8576818851898,59.7086502942756,5011.365833333329,5011.122777777777,0.24305555555201863,VER,304.0,305.0
